Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
A1BG		"Alpha-1-B glycoprotein"	P04217			"Evidence at protein level"
A1CF	"ACF, ACF64, ACF65, APOBEC1CF, ASP"	"APOBEC1 complementation factor"	Q9NQ94	"mRNA processing"	RNA-binding	"Evidence at protein level"
A2M	"CPAMD5, FWP007, S863-7"	Alpha-2-macroglobulin	P01023		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
A2ML1	"CPAMD9, FLJ25179, p170"	"Alpha-2-macroglobulin like 1"	A8K2U0		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
A3GALT2	"A3GALT2P, IGB3S, IGBS3S"	"Alpha 1,3-galactosyltransferase 2"	U3KPV4	"Lipid metabolism"	"Glycosyltransferase, Transferase"	"Evidence at transcript level"
A4GALT	"A14GALT, Gb3S, P(k), P1"	"Alpha 1,4-galactosyltransferase (P blood group)"	Q9NPC4	"Lipid biosynthesis, Lipid metabolism"	"Glycosyltransferase, Transferase"	"Evidence at protein level"
A4GNT	alpha4GnT	Alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3		"Glycosyltransferase, Transferase"	"Evidence at protein level"
AAAS		"Aladin WD repeat nucleoporin"	Q9NRG9	"mRNA transport, Protein transport, Translocation, Transport"		"Evidence at protein level"
AACS	"ACSF1, FLJ12389, SUR-5"	"Acetoacetyl-CoA synthetase"	Q86V21	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
AADAC	"CES5A1, DAC"	"Arylacetamide deacetylase"	P22760	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
AADACL2	MGC72001	"Arylacetamide deacetylase like 2"	Q6P093		Hydrolase	"Evidence at protein level"
AADACL3		"Arylacetamide deacetylase like 3"	Q5VUY0		Hydrolase	"Evidence at transcript level"
AADACL4		"Arylacetamide deacetylase like 4"	Q5VUY2		Hydrolase	"Evidence at transcript level"
AADAT	"KAT2, KATII, KYAT2"	"Aminoadipate aminotransferase"	Q8N5Z0		"Aminotransferase, Transferase"	"Evidence at protein level"
AAGAB	"FLJ11506, p34"	"Alpha and gamma adaptin binding protein"	Q6PD74	"Protein transport, Transport"		"Evidence at protein level"
AAK1	"DKFZp686K16132, KIAA1048"	"AP2 associated kinase 1"	Q2M2I8	Endocytosis	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
AAMDC	"C11orf67, CK067, FLJ21035, PTD015"	"Adipogenesis associated Mth938 domain containing"	Q9H7C9			"Evidence at protein level"
AAMP		"Angio associated migratory cell protein"	Q13685	"Angiogenesis, Differentiation"	"Developmental protein"	"Evidence at protein level"
AANAT	SNAT	"Aralkylamine N-acetyltransferase"	Q16613	"Biological rhythms, Melatonin biosynthesis"	"Acyltransferase, Transferase"	"Evidence at protein level"
AAR2	"bA234K24.2, C20orf4"	"AAR2 splicing factor"	Q9Y312	"mRNA processing, mRNA splicing"		"Evidence at protein level"
AARD	"C8orf85, LOC441376"	"Alanine and arginine rich domain containing protein"	Q4LEZ3			"Evidence at protein level"
AARS1	"AARS, AlaRS, CMT2N"	"Alanyl-tRNA synthetase 1"	P49588	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Evidence at protein level"
AARS2	"AARSL, bA444E17.1, KIAA1270"	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Evidence at protein level"
AARSD1	"AlaXp, MGC2744"	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	"Protein biosynthesis"		"Evidence at protein level"
AASDH	"ACSF4, LYS2, NRPS998"	"Aminoadipate-semialdehyde dehydrogenase"	Q4L235	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
AASDHPPT	"AASD-PPT, ACPS, CGI-80, LYS5"	"Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	Q9NRN7		Transferase	"Evidence at protein level"
AASS	"LKRSDH, LORSDH"	"Aminoadipate-semialdehyde synthase"	Q9UDR5		"Multifunctional enzyme, Oxidoreductase"	"Evidence at protein level"
AATF	"BFR2, CHE-1, CHE1, DED"	"Apoptosis antagonizing transcription factor"	Q9NY61			"Evidence at protein level"
AATK	"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77"	"Apoptosis associated tyrosine kinase"	Q6ZMQ8		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ABAT	"GABA-T, GABAT"	"4-aminobutyrate aminotransferase"	P80404	"Neurotransmitter degradation"	"Aminotransferase, Transferase"	"Evidence at protein level"
ABCA1	"ABC1, HDLDT1, TGD"	"ATP binding cassette subfamily A member 1"	O95477	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transport"	Translocase	"Evidence at protein level"
ABCA10	EST698739	"ATP binding cassette subfamily A member 10"	Q8WWZ4	Transport	Translocase	"Evidence at protein level"
ABCA12	"DKFZP434G232, ICR2B, LI2"	"ATP binding cassette subfamily A member 12"	Q86UK0	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCA13	"FLJ33876, FLJ33951"	"ATP binding cassette subfamily A member 13"				"Evidence at transcript level"
ABCA2	ABC2	"ATP binding cassette subfamily A member 2"	Q9BZC7	Transport	Translocase	"Evidence at protein level"
ABCA3	"ABC-C, ABC3, EST111653, LBM180"	"ATP binding cassette subfamily A member 3"	Q99758	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCA4	"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1"	"ATP binding cassette subfamily A member 4"	P78363	"Sensory transduction, Transport, Vision"	Translocase	"Evidence at protein level"
ABCA5	EST90625	"ATP binding cassette subfamily A member 5"	Q8WWZ7	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCA6	EST155051	"ATP binding cassette subfamily A member 6"	Q8N139	Transport	Translocase	"Evidence at protein level"
ABCA7	ABCX	"ATP binding cassette subfamily A member 7"	Q8IZY2	"Lipid transport, Phagocytosis, Transport"	Translocase	"Evidence at protein level"
ABCA8	KIAA0822	"ATP binding cassette subfamily A member 8"	O94911	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCA9	EST640918	"ATP binding cassette subfamily A member 9"	Q8IUA7	Transport	Translocase	"Evidence at protein level"
ABCB1	"ABC20, CD243, CLCS, GP170, MDR1, p-170, P-gp, PGY1"	"ATP binding cassette subfamily B member 1"	P08183	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCB10	"EST20237, M-ABC2, MTABC2"	"ATP binding cassette subfamily B member 10"	Q9NRK6	Transport		"Evidence at protein level"
ABCB11	"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP"	"ATP binding cassette subfamily B member 11"	O95342	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCB4	"GBD1, MDR2, MDR3, PFIC-3, PGY3"	"ATP binding cassette subfamily B member 4"	P21439	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCB5	"ABCB5alpha, ABCB5beta, EST422562"	"ATP binding cassette subfamily B member 5"	Q2M3G0	"Differentiation, Transport"	Translocase	"Evidence at protein level"
ABCB6	"EST45597, MTABC3, umat"	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	Transport	Translocase	"Evidence at protein level"
ABCB7	"ABC7, ASAT, Atm1p, EST140535"	"ATP binding cassette subfamily B member 7"	O75027	Transport		"Evidence at protein level"
ABCB8	"EST328128, M-ABC1, MABC1, MITOSUR"	"ATP binding cassette subfamily B member 8"	Q9NUT2	"Ion transport, Potassium transport, Transport"		"Evidence at protein level"
ABCB9	EST122234	"ATP binding cassette subfamily B member 9"	Q9NP78	"Peptide transport, Protein transport, Transport"	Translocase	"Evidence at protein level"
ABCC1	"GS-X, MRP, MRP1"	"ATP binding cassette subfamily C member 1"	P33527	"Lipid transport, Transport"	"Hydrolase, Translocase"	"Evidence at protein level"
ABCC10	"EST182763, MRP7, SIMRP7"	"ATP binding cassette subfamily C member 10"	Q5T3U5	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCC11	MRP8	"ATP binding cassette subfamily C member 11"	Q96J66	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCC12	MRP9	"ATP binding cassette subfamily C member 12"				"Evidence at transcript level"
ABCC2	"CMOAT, cMRP, DJS, MRP2"	"ATP binding cassette subfamily C member 2"	Q92887	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCC3	"cMOAT2, EST90757, MLP2, MOAT-D, MRP3"	"ATP binding cassette subfamily C member 3"	O15438	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCC4	"EST170205, MOAT-B, MOATB, MRP4"	"ATP binding cassette subfamily C member 4"	O15439	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCC5	"EST277145, MOAT-C, MRP5, SMRP"	"ATP binding cassette subfamily C member 5"	O15440	Transport	Translocase	"Evidence at protein level"
ABCC6	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	"ATP binding cassette subfamily C member 6"	O95255	"Sensory transduction, Transport, Vision"	Translocase	"Evidence at protein level"
ABCC8	"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2"	"ATP binding cassette subfamily C member 8"	Q09428	Transport	Receptor	"Evidence at protein level"
ABCC9	"CMD1O, SUR2"	"ATP binding cassette subfamily C member 9"	O60706	Transport	Receptor	"Evidence at protein level"
ABCD1	"adrenoleukodystrophy, ALD, ALDP, AMN"	"ATP binding cassette subfamily D member 1"	P33897	Transport	"Hydrolase, Translocase"	"Evidence at protein level"
ABCD2	"ALDL1, ALDR, ALDRP"	"ATP binding cassette subfamily D member 2"	Q9UBJ2	Transport	"Hydrolase, Translocase"	"Evidence at protein level"
ABCD3	"PMP70, PXMP1, ZWS2"	"ATP binding cassette subfamily D member 3"	P28288	Transport	"Hydrolase, Translocase"	"Evidence at protein level"
ABCD4	"EST352188, P70R, PMP69, PXMP1L"	"ATP binding cassette subfamily D member 4"	O14678	Transport	Translocase	"Evidence at protein level"
ABCE1	"OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I"	"ATP binding cassette subfamily E member 1"	P61221	"Host-virus interaction, Translation regulation"	"Chaperone, Hydrolase"	"Evidence at protein level"
ABCF1	"ABC50, EST123147"	"ATP binding cassette subfamily F member 1"	Q8NE71		Activator	"Evidence at protein level"
ABCF2	"ABC28, EST133090, HUSSY-18, M-ABC1"	"ATP binding cassette subfamily F member 2"	Q9UG63			"Evidence at protein level"
ABCF2-H2BK1	ABCF2-H2BE1	"ABCF2-H2BK1 readthrough"				"Evidence at protein level"
ABCF3	EST201864	"ATP binding cassette subfamily F member 3"	Q9NUQ8	"Antiviral defense"		"Evidence at protein level"
ABCG1	ABC8	"ATP binding cassette subfamily G member 1"	P45844	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCG2	"ABCP, BCRP, CD338, EST157481, MXR"	"ATP binding cassette subfamily G member 2 (Junior blood group)"	Q9UNQ0	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCG4	WHITE2	"ATP binding cassette subfamily G member 4"	Q9H172	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCG5	STSL	"ATP binding cassette subfamily G member 5"	Q9H222	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABCG8	GBD4	"ATP binding cassette subfamily G member 8"	Q9H221	"Lipid transport, Transport"	Translocase	"Evidence at protein level"
ABHD1	"FLJ36128, LABH1"	"Abhydrolase domain containing 1"	Q96SE0		"Hydrolase, Serine esterase"	"Evidence at protein level"
ABHD10	FLJ11342	"Abhydrolase domain containing 10, depalmitoylase"	Q9NUJ1		Hydrolase	"Evidence at protein level"
ABHD11	"PP1226, WBSCR21"	"Abhydrolase domain containing 11"	Q8NFV4		Hydrolase	"Evidence at protein level"
ABHD12	"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106"	"Abhydrolase domain containing 12, lysophospholipase"	Q8N2K0	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
ABHD12B	"BEM46L3, C14orf29"	"Abhydrolase domain containing 12B"	Q7Z5M8		Hydrolase	"Evidence at protein level"
ABHD13	"bA153I24.2, BEM46L1, C13orf6, FLJ14906"	"Abhydrolase domain containing 13"	Q7L211		Hydrolase	"Evidence at protein level"
ABHD14A	"DKFZP564O243, DORZ1"	"Abhydrolase domain containing 14A"	Q9BUJ0		Hydrolase	"Evidence at protein level"
ABHD14A-ACY1		"ABHD14A-ACY1 readthrough"				"Evidence at protein level"
ABHD14B	"CIB, MGC15429"	"Abhydrolase domain containing 14B"	Q96IU4		"Acyltransferase, Transferase"	"Evidence at protein level"
ABHD15		"Abhydrolase domain containing 15"	Q6UXT9			"Evidence at protein level"
ABHD16A	"BAT5, D6S82E, NG26"	"Abhydrolase domain containing 16A, phospholipase"	O95870	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
ABHD16B	"C20orf135, dJ591C20.1"	"Abhydrolase domain containing 16B"	Q9H3Z7		Hydrolase	"Evidence at protein level"
ABHD17A	"C19orf27, FAM108A1, MGC5244"	"Abhydrolase domain containing 17A, depalmitoylase"	Q96GS6		Hydrolase	"Evidence at protein level"
ABHD17B	"C9orf77, CGI-67, FAM108B1"	"Abhydrolase domain containing 17B, depalmitoylase"	Q5VST6		Hydrolase	"Evidence at protein level"
ABHD17C	FAM108C1	"Abhydrolase domain containing 17C, depalmitoylase"	Q6PCB6		Hydrolase	"Evidence at protein level"
ABHD18	"C4orf29, FLJ21106"	"Abhydrolase domain containing 18"	Q0P651			"Evidence at protein level"
ABHD2	LABH2	"Abhydrolase domain containing 2, acylglycerol lipase"	P08910	"Lipid degradation, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ABHD3	LABH3	"Abhydrolase domain containing 3, phospholipase"	Q8WU67	"Lipid metabolism, Phospholipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ABHD4	FLJ12816	"Abhydrolase domain containing 4, N-acyl phospholipase B"	Q8TB40	"Lipid degradation, Lipid metabolism"	Hydrolase	"Evidence at protein level"
ABHD5	"CGI-58, NCIE2"	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Q8WTS1	"Differentiation, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"	"Evidence at protein level"
ABHD6		"Abhydrolase domain containing 6, acylglycerol lipase"	Q9BV23	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
ABHD8	"FLJ11743, MGC14280, MGC2512"	"Abhydrolase domain containing 8"	Q96I13		Hydrolase	"Evidence at protein level"
ABI1	"ABI-1, E3B1, SSH3BP1"	"Abl interactor 1"	Q8IZP0	"Host-virus interaction"		"Evidence at protein level"
ABI2	"ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2"	"Abl interactor 2"	Q9NYB9	"Host-virus interaction, Neurogenesis"		"Evidence at protein level"
ABI3	"NESH, SSH3BP3"	"ABI family member 3"	Q9P2A4			"Evidence at protein level"
ABI3BP	"DKFZP586L2024, NESHBP, TARSH"	"ABI family member 3 binding protein"	Q7Z7G0			"Evidence at protein level"
ABITRAM	"C9orf6, CG-8, FAM206A, FLJ20457, Simiate"	"Actin binding transcription modulator"	Q9NX38		Actin-binding	"Evidence at protein level"
ABL1	"ABL, c-ABL, JTK7, p150"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	P00519	"Apoptosis, Autophagy, Cell adhesion, DNA damage, DNA repair, Endocytosis"	"DNA-binding, Kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ABL2	"ABLL, ARG"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	P42684	"Cell adhesion"	"Kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ABLIM1	"ABLIM, LIMAB1, limatin"	"Actin binding LIM protein 1"	O14639		Actin-binding	"Evidence at protein level"
ABLIM2	KIAA1808	"Actin binding LIM protein family member 2"	Q6H8Q1			"Evidence at protein level"
ABLIM3	KIAA0843	"Actin binding LIM protein family member 3"	O94929			"Evidence at protein level"
ABO	"A3GALNT, A3GALT1"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"				"Evidence at transcript level"
ABR	MDB	"ABR activator of RhoGEF and GTPase"	Q12979		"GTPase activation, Guanine-nucleotide releasing factor"	"Evidence at protein level"
ABRA	STARS	"Actin binding Rho activating protein"	Q8N0Z2	"Protein transport, Transcription, Transcription regulation, Translocation, Transport"	"Actin-binding, Activator"	"Evidence at protein level"
ABRACL	"C6orf115, Costars, HSPC280, PRO2013"	"ABRA C-terminal like"	Q9P1F3			"Evidence at protein level"
ABRAXAS1	"ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614"	"Abraxas 1, BRCA1 A complex subunit"	Q6UWZ7	"DNA damage, DNA repair"	"Chromatin regulator"	"Evidence at protein level"
ABRAXAS2	"ABRO1, Em:AC068896.4, FAM175B, KIAA0157"	"Abraxas 2, BRISC complex subunit"	Q15018	"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway"		"Evidence at protein level"
ABT1	Esf2	"Activator of basal transcription 1"	Q9ULW3	"Transcription, Transcription regulation"	"DNA-binding, RNA-binding"	"Evidence at protein level"
ABTB1	"BPOZ, Btb3, BTBD21, EF1ABP"	"Ankyrin repeat and BTB domain containing 1"	Q969K4	"Protein biosynthesis"	"Elongation factor"	"Evidence at protein level"
ABTB2	"ABTB2A, BTBD22, DKFZP586C1619"	"Ankyrin repeat and BTB domain containing 2"	Q8N961			"Evidence at protein level"
ABTB3	"ABTB2B, BTBD11, FLJ33957"	"Ankyrin repeat and BTB domain containing 3"	A6QL63			"Evidence at protein level"
ACAA1	Lnc-Myd88	"Acetyl-CoA acyltransferase 1"	P09110	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Evidence at protein level"
ACAA2	DSAEC	"Acetyl-CoA acyltransferase 2"	P42765	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Hydrolase, Transferase"	"Evidence at protein level"
ACACA	"ACAC, Acac1, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, hACC1"	"Acetyl-CoA carboxylase alpha"	Q13085	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"	"Evidence at protein level"
ACACB	"ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275"	"Acetyl-CoA carboxylase beta"	O00763	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"	"Evidence at protein level"
ACAD10	MGC5601	"Acyl-CoA dehydrogenase family member 10"	Q6JQN1		Oxidoreductase	"Evidence at protein level"
ACAD11	FLJ12592	"Acyl-CoA dehydrogenase family member 11"	Q709F0	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACAD8		"Acyl-CoA dehydrogenase family member 8"	Q9UKU7	"Branched-chain amino acid catabolism, Transcription, Transcription regulation"	"Activator, Oxidoreductase"	"Evidence at protein level"
ACAD9	"MGC14452, NPD002"	"Acyl-CoA dehydrogenase family member 9"	Q9H845		Oxidoreductase	"Evidence at protein level"
ACADL	"ACAD4, LCAD"	"Acyl-CoA dehydrogenase long chain"	P28330	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACADM	"ACAD1, MCAD, MCADH"	"Acyl-CoA dehydrogenase medium chain"	P11310	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACADS	"ACAD3, SCAD"	"Acyl-CoA dehydrogenase short chain"	P16219	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACADSB	"ACAD7, SBCAD"	"Acyl-CoA dehydrogenase short/branched chain"	P45954	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACADVL	"ACAD6, LCACD, VLCAD"	"Acyl-CoA dehydrogenase very long chain"	P49748	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACAN	"AGC1, CSPG1, CSPGCP, MSK16"	Aggrecan	P16112			"Evidence at protein level"
ACAP1	"CENTB1, KIAA0050"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	Q15027	"Protein transport, Transport"	"GTPase activation"	"Evidence at protein level"
ACAP2	"CENTB2, CNT-B2, KIAA0041"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	Q15057		"GTPase activation"	"Evidence at protein level"
ACAP3	"CENTB5, KIAA1716"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	Q96P50		"GTPase activation"	"Evidence at protein level"
ACAT1	"ACAT, THIL"	"Acetyl-CoA acetyltransferase 1"	P24752	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Evidence at protein level"
ACAT2		"Acetyl-CoA acetyltransferase 2"	Q9BWD1		"Acyltransferase, Transferase"	"Evidence at protein level"
ACBD3	"GCP60, GOCAP1, GOLPH1, PAP7"	"Acyl-CoA binding domain containing 3"	Q9H3P7	"Host-virus interaction, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis"		"Evidence at protein level"
ACBD4	FLJ13322	"Acyl-CoA binding domain containing 4"	Q8NC06			"Evidence at protein level"
ACBD5	"DKFZp434A2417, KIAA1996"	"Acyl-CoA binding domain containing 5"	Q5T8D3	"Autophagy, Transport"		"Evidence at protein level"
ACBD6	MGC2404	"Acyl-CoA binding domain containing 6"	Q9BR61			"Evidence at protein level"
ACBD7	"bA455B2.2, FLJ38219"	"Acyl-CoA binding domain containing 7"	Q8N6N7			"Evidence at protein level"
ACCS	"ACS, PHACS"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	Q96QU6			"Evidence at protein level"
ACCSL		"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"	Q4AC99			"Evidence at protein level"
ACD	"Pip1, Ptop, Tint1, Tpp1"	"ACD shelterin complex subunit and telomerase recruitment factor"	Q96AP0		DNA-binding	"Evidence at protein level"
ACE	"ACE1, CD143, DCP1"	"Angiotensin I converting enzyme"	P12821		"Calmodulin-binding, Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ACE2	ACEH	"Angiotensin converting enzyme 2"	Q9BYF1	"Host-virus interaction"	"Carboxypeptidase, Host cell receptor for virus entry, Hydrolase, Metalloprotease, Protease, Receptor"	"Evidence at protein level"
ACER1	ASAH3	"Alkaline ceramidase 1"	Q8TDN7	"Lipid metabolism, Sphingolipid metabolism"	Hydrolase	"Evidence at protein level"
ACER2	"ALKCDase2, ASAH3L, FLJ41587"	"Alkaline ceramidase 2"	Q5QJU3	"Lipid metabolism, Sphingolipid metabolism"	Hydrolase	"Evidence at protein level"
ACER3	"APHC, FLJ11238, PHCA"	"Alkaline ceramidase 3"	Q9NUN7	"Lipid metabolism, Sphingolipid metabolism"	Hydrolase	"Evidence at protein level"
ACHE	YT	"Acetylcholinesterase (Cartwright blood group)"	P22303	"Neurotransmitter degradation"	"Blood group antigen, Hydrolase, Serine esterase"	"Evidence at protein level"
ACIN1	"ACINUS, fSAP152, KIAA0670"	"Apoptotic chromatin condensation inducer 1"	Q9UKV3	"Apoptosis, mRNA processing, mRNA splicing"	RNA-binding	"Evidence at protein level"
ACKR1	"CCBP1, CD234, DARC, Dfy, FY, GPD"	"Atypical chemokine receptor 1 (Duffy blood group)"	Q16570		"Blood group antigen, G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ACKR2	"CCBP2, CCR10, CCR9, CMKBR9, D6"	"Atypical chemokine receptor 2"	O00590	"Inflammatory response"	"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ACKR3	"CMKOR1, CXCR7, GPR159, RDC1"	"Atypical chemokine receptor 3"	P25106	"Cell adhesion, Host-virus interaction"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ACKR4	"CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1"	"Atypical chemokine receptor 4"	Q9NPB9		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ACLY	"ACL, ATPCL, CLATP"	"ATP citrate lyase"	P53396	"Lipid biosynthesis, Lipid metabolism"	Transferase	"Evidence at protein level"
ACMSD		"Aminocarboxymuconate semialdehyde decarboxylase"	Q8TDX5		"Decarboxylase, Lyase"	"Evidence at protein level"
ACO1	"IREB1, IREBP, IRP1"	"Aconitase 1"	P21399	"Tricarboxylic acid cycle"	"Lyase, RNA-binding"	"Evidence at protein level"
ACO2	ACONM	"Aconitase 2"	Q99798	"Tricarboxylic acid cycle"	Lyase	"Evidence at protein level"
ACOD1	"CAD, IRG1"	"Aconitate decarboxylase 1"	A6NK06	"Immunity, Inflammatory response, Innate immunity"	"Antimicrobial, Lyase"	"Evidence at protein level"
ACOT1	"ACH2, CTE-1, LACH2"	"Acyl-CoA thioesterase 1"	Q86TX2	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT11	"BFIT, BFIT1, KIAA0707, STARD14, THEA, THEM1"	"Acyl-CoA thioesterase 11"	Q8WXI4	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT12	"Cach, STARD15, THEAL"	"Acyl-CoA thioesterase 12"	Q8WYK0	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT13	"HT012, THEM2"	"Acyl-CoA thioesterase 13"	Q9NPJ3	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
ACOT2	"Mte1, ZAP128"	"Acyl-CoA thioesterase 2"	P49753	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT4	"FLJ31235, PTE-Ib, PTE2B"	"Acyl-CoA thioesterase 4"	Q8N9L9	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT6	C14orf42	"Acyl-CoA thioesterase 6"	Q3I5F7		"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT7	"ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126"	"Acyl-CoA thioesterase 7"	O00154	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT8	"hACTE-III, hTE, NAP1, PTE-2, PTE1"	"Acyl-CoA thioesterase 8"	O14734	"Fatty acid metabolism, Host-virus interaction, Lipid metabolism, Peroxisome biogenesis"	"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOT9	"ACATE2, CGI-16, MT-ACT48"	"Acyl-CoA thioesterase 9"	Q9Y305		"Hydrolase, Serine esterase"	"Evidence at protein level"
ACOX1	PALMCOX	"Acyl-CoA oxidase 1"	Q15067	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACOX2	"BRCACOX, BRCOX, THCCox"	"Acyl-CoA oxidase 2"	Q99424	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACOX3		"Acyl-CoA oxidase 3, pristanoyl"	O15254	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"
ACOXL	FLJ11042	"Acyl-CoA oxidase like"	Q9NUZ1		Oxidoreductase	"Evidence at protein level"
