Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
TBCCD1	FLJ10560	"TBCC domain containing 1"	Q9NVR7			"Evidence at protein level"
TBCD		"Tubulin folding cofactor D"	Q9BTW9		"Chaperone, GTPase activation"	"Evidence at protein level"
TBCE	"HRD, KCS, KCS1, pac2"	"Tubulin folding cofactor E"	Q15813		Chaperone	"Evidence at protein level"
TBCE	"HRD, KCS, KCS1, pac2"	"Tubulin folding cofactor E"	Q15813		Chaperone	"Evidence at protein level"
TBCEL	"LRRC35, MGC10233"	"Tubulin folding cofactor E like"	Q5QJ74			"Evidence at protein level"
TBCEL-TECTA		"TBCEL-TECTA readthrough"				"Evidence at protein level"
TBCK	"HSPC302, MGC16169"	"TBC1 domain containing kinase"	Q8TEA7			"Evidence at protein level"
TBK1	NAK	"TANK binding kinase 1"	Q9UHD2	"Antiviral defense, Host-virus interaction, Immunity, Innate immunity"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
TBKBP1	"KIAA0775, ProSAPiP2"	"TBK1 binding protein 1"	A7MCY6	"Host-virus interaction, Immunity, Innate immunity"		"Evidence at protein level"
TBL1X	"EBI, TBL1"	"Transducin beta like 1 X-linked"	O60907	"Transcription, Transcription regulation, Ubl conjugation pathway"	Activator	"Evidence at protein level"
TBL1XR1	"C21, DC42, FLJ12894, IRA1, TBLR1"	"TBL1X/Y related 1"	Q9BZK7	"Transcription, Transcription regulation, Ubl conjugation pathway"	"Activator, Chromatin regulator, Repressor"	"Evidence at protein level"
TBL1Y	TBL1	"Transducin beta like 1 Y-linked"	Q9BQ87	"Transcription, Transcription regulation, Ubl conjugation pathway"	Activator	"Evidence at protein level"
TBL2	"DKFZP43N024, WBSCR13, WS-betaTRP"	"Transducin beta like 2"	Q9Y4P3			"Evidence at protein level"
TBL3	"SAZD, UTP13"	"Transducin beta like 3"	Q12788			"Evidence at protein level"
TBP	"GTF2D1, SCA17, TBP1, TFIID"	"TATA-box binding protein"	P20226	"Host-virus interaction, Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TBPL1	"STUD, TLF, TLP, TRF2"	"TATA-box binding protein like 1"	P62380	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TBPL2	"TBP2, TRF3"	"TATA-box binding protein like 2"	Q6SJ96	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TBR1		"T-box brain transcription factor 1"	Q16650	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TBRG1	"FLJ14621, NIAM, TB-5"	"Transforming growth factor beta regulator 1"	Q3YBR2	"Cell cycle"		"Evidence at protein level"
TBRG4	"Cpr2, FASTKD4, H_TD2522F11.8, KIAA0948"	"Transforming growth factor beta regulator 4"	Q969Z0			"Evidence at protein level"
TBX1	"CATCH22, VCF"	"T-box transcription factor 1"	O43435	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"
TBX10	"TBX13, TBX7"	"T-box transcription factor 10"	O75333	"Transcription, Transcription regulation"	DNA-binding	"Evidence at transcript level"
TBX15	TBX14	"T-box transcription factor 15"	Q96SF7	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TBX18		"T-box transcription factor 18"	O95935	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Evidence at protein level"
TBX19	"dj747L4.1, TPIT"	"T-box transcription factor 19"	O60806	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
